state,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Population,Ratio
Puerto Rico,US,4/15/20,18.2208,-66.5901,974,51,,923,72,33.20370027,7799,,5.23613963,630,PRI,265.8682324,,3193694,0.000305
Rhode Island,US,4/15/20,41.6809,-71.5118,3251,80,168,3171,44,306.8831116,25897,331,2.460781298,84000044,USA,2444.586878,10.18148262,1059361,0.003069
South Carolina,US,4/15/20,33.8569,-80.945,3656,106,,3550,45,72.54004236,34733,675,2.899343545,84000045,USA,689.1502438,18.46280088,5148714,0.000710
South Dakota,US,4/15/20,44.2998,-99.4388,1168,6,329,1162,46,158.7189425,9859,51,0.51369863,84000046,USA,1339.734635,4.366438356,884659,0.001320
Tennessee,US,4/15/20,35.7478,-86.6923,5827,124,2196,5703,47,88.75952809,80896,663,2.128024713,84000047,USA,1232.244857,11.37806762,6829174,0.000853
Texas,US,4/15/20,31.0545,-97.5635,15907,375,3150,15532,48,69.20732573,151810,1538,2.357452694,84000048,USA,660.4868372,9.668699315,28995881,0.000549
Utah,US,4/15/20,40.15,-111.8624,2548,20,218,2528,49,88.90805693,47614,221,0.784929356,84000049,USA,1661.408251,8.673469388,3205958,0.000795
Vermont,US,4/15/20,44.0459,-72.7107,759,29,15,730,50,124.3057955,11081,63,3.820816864,84000050,USA,1814.799104,8.300395257,623989,0.001216
Virgin Islands,US,4/15/20,18.3358,-64.8963,51,1,44,50,78,47.54446806,382,,1.960784314,850,VIR,356.1173882,,106405,0.000479
Virginia,US,4/15/20,37.7693,-78.17,6500,195,752,6305,51,82.20324943,44169,1298,3,84000051,USA,558.5900499,19.96923077,8535519,0.000762
Washington,US,4/15/20,47.4009,-121.4905,10942,552,,10390,53,144.938613,122854,645,5.044781576,84000053,USA,1627.333976,5.894717602,7614893,0.001437
West Virginia,US,4/15/20,38.4912,-80.9545,702,10,211,692,54,53.0613047,17656,164,1.424501425,84000054,USA,1334.544723,23.36182336,1792147,0.000392
Wisconsin,US,4/15/20,44.2685,-89.6165,3721,183,,3538,55,71.90934282,43047,1091,4.918032787,84000055,USA,831.8950499,29.32007525,5822434,0.000639
Wyoming,US,4/15/20,42.756,-107.3025,287,1,129,286,56,57.71860671,6329,43,0.348432056,84000056,USA,1272.826,14.9825784,578759,0.000496
